#,¿Qué tan seguido lees novelas o libros por gusto?,Romance,Misterio / Thriller,Fantasía,Ciencia ficción,Terror,Drama,Historias basadas en hechos reales,No suelo leer,La portada,Recomendaciones de amigos o redes sociales,La trama/sinopsis,El autor,Las reseñas o calificaciones,"Película, si es que tiene","Finalmente, si leyeses un libro o novela, ¿en qué rango de cantidad de páginas se encontraría?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
5fopy6citqdgerq5fopgppn7x94jaks2,Leo frecuentemente,,,,,,,,,,Recomendaciones de amigos o redes sociales,La trama/sinopsis,,Las reseñas o calificaciones,,Larga: 350 a 500 páginas,completed,2026-05-09 16:27:33,,2026-05-09 16:28:22,2abdde0955,,¡Gracias por participar!
6zafns189c0x5hyp2lf6zafnrygrv04m,"A veces, cuando tengo tiempo",,,,Ciencia ficción,,,Historias basadas en hechos reales,,,Recomendaciones de amigos o redes sociales,,,,"Película, si es que tiene",Larga: 350 a 500 páginas,completed,2026-05-09 14:42:15,,2026-05-09 14:43:05,0f1e568e99,,¡Gracias por participar!
kan7nrabo8ymb433ykan7nrmlpm1wjik,Nunca o casi nunca,,,,,,,,,,Recomendaciones de amigos o redes sociales,,,,,Media: 200 a 350 páginas,completed,2026-05-09 14:42:05,,2026-05-09 14:42:31,a8c0d86027,,¡Gracias por participar!
80h2fj4ipj8xhxmsnnwz2f380h2fj4i9,"A veces, cuando tengo tiempo",,,,Ciencia ficción,,,,,,Recomendaciones de amigos o redes sociales,,,Las reseñas o calificaciones,,Media: 200 a 350 páginas,completed,2026-05-09 13:36:57,,2026-05-09 13:37:34,352a4873e2,,¡Gracias por participar!
y2q3z8t2ndstwsnwccwxyy2q3z8t2d2a,Leo de vez en cuando durante el mes,,,,,,,,No suelo leer,La portada,,La trama/sinopsis,,,,Corta: 100 a 200 páginas,completed,2026-05-09 12:45:10,,2026-05-09 12:45:54,237c7d4f78,,¡Gracias por participar!
4fvtegc3eb60fse2zxz94fvtei3yw7ze,"A veces, cuando tengo tiempo",,,,Ciencia ficción,,,,,,Recomendaciones de amigos o redes sociales,La trama/sinopsis,,,,Corta: 100 a 200 páginas,completed,2026-05-09 04:42:02,,2026-05-09 04:43:31,6668ea2b7f,,¡Gracias por participar!
9dn0jmd1b1p95qixnw9dn0x2htq4tih5,Leo de vez en cuando durante el mes,,,Fantasía,,,,,,,Recomendaciones de amigos o redes sociales,La trama/sinopsis,El autor,,"Película, si es que tiene",Larga: 350 a 500 páginas,completed,2026-05-09 02:31:39,,2026-05-09 02:32:51,b9771996b8,,¡Gracias por participar!
clnr6h3j0jsnm02rjclnr64tlrl3m0fi,Leo frecuentemente,Romance,,Fantasía,,,Drama,,,La portada,,La trama/sinopsis,,,,Media: 200 a 350 páginas,completed,2026-05-09 02:23:10,,2026-05-09 02:24:26,b9771996b8,,¡Gracias por participar!
3udgd67udd0m9kyhj3udgdju9ufievj0,Leo de vez en cuando durante el mes,,Misterio / Thriller,Fantasía,Ciencia ficción,,,,,,Recomendaciones de amigos o redes sociales,,,Las reseñas o calificaciones,,Media: 200 a 350 páginas,completed,2026-05-09 02:22:48,,2026-05-09 02:25:19,2b7bc21e76,,¡Gracias por participar!
2whbk42zgz12whi52om60k86340bhe0b,Leo frecuentemente,,,Fantasía,,,,Historias basadas en hechos reales,,,Recomendaciones de amigos o redes sociales,,El autor,Las reseñas o calificaciones,,Muy larga: más de 500 páginas,completed,2026-05-09 02:21:35,,2026-05-09 02:22:19,adf08abe87,,¡Gracias por participar!
"dxibgiilkeeje0ox5mdxibgip4zx2com,"A veces, cuando tengo tiempo",,Misterio / Thriller,,,Terror,Drama,,,La portada,Recomendaciones de amigos o redes sociales,La trama/sinopsis,,,,Corta: 100 a 200 páginas,completed,2026-05-08 00:21:02,,2026-05-08 00:22:28,950f3c1725,,Gracias por participar!
wqd9ebb58q4y9swqdeffj20icpmojnla,Leo frecuentemente,Romance,,Fantasía,Ciencia ficción,,,,,La portada,,La trama/sinopsis,,,,Larga: 350 a 500 páginas,completed,2026-05-08 00:13:04,,2026-05-08 00:14:18,bf74cb8115,,Gracias por participar!
af0kn54bu8b8bb1234raf0kn5mj5ytkn,Leo de vez en cuando durante el mes,,,Fantasía,Ciencia ficción,,,,,,Recomendaciones de amigos o redes sociales,,El autor,Las reseñas o calificaciones,,Media: 200 a 350 páginas,completed,2026-05-08 00:13:02,,2026-05-08 00:14:00,950f3c1725,,Gracias por participar!
9zdk8qxa57i11nun83y9zdkxqtk2ogfi,Nunca o casi nunca,Romance,Misterio / Thriller,,,,,,,,Recomendaciones de amigos o redes sociales,,,Las reseñas o calificaciones,,Media: 200 a 350 páginas,completed,2026-05-08 00:07:35,,2026-05-08 00:08:25,eebf30f3b1,,Gracias por participar!
"oj349aztzawkfvqoj349x93ib3sttbr1,Nunca o casi nunca,,,Fantasía,Ciencia ficción,,,,,,,La trama/sinopsis,,,"Película, si es que tiene",Media: 200 a 350 páginas,completed,2026-05-08 00:06:35,,2026-05-08 00:08:10,5398eb142e,,Gracias por participar!
z0ipelczxku8lt2hmplxz0ipenm5wj89,Leo de vez en cuando durante el mes,,Misterio / Thriller,Fantasía,Ciencia ficción,,,Historias basadas en hechos reales,,La portada,Recomendaciones de amigos o redes sociales,La trama/sinopsis,,Las reseñas o calificaciones,,Muy larga: más de 500 páginas,completed,2026-05-08 00:05:12,,2026-05-08 00:06:17,356b23331c,,Gracias por participar!
"dcvouosyfnneb8doldcvoue33xbriwzz,Nunca o casi nunca,,,,,,,,No suelo leer,,,,,,"Película, si es que tiene",Corta: 100 a 200 páginas,completed,2026-05-08 00:03:39,,2026-05-08 00:04:57,c864bcd937,,Gracias por participar!
pvkuzdjn55bzpvtmte6i1qk274dbzjxt,Leo frecuentemente,Romance,Misterio / Thriller,Fantasía,,,,Historias basadas en hechos reales,,La portada,,La trama/sinopsis,,Las reseñas o calificaciones,,Muy larga: más de 500 páginas,completed,2026-05-08 00:01:27,,2026-05-08 00:01:57,a2626e371b,,Gracias por participar!
"17uvr4jtmdofxnl17uvz578t3m2pfdqp,"A veces, cuando tengo tiempo",,,,Ciencia ficción,,,,,,Recomendaciones de amigos o redes sociales,,,,,Media: 200 a 350 páginas,completed,2026-05-08 00:01:15,,2026-05-08 00:03:16,c864bcd937,,Gracias por participar!
vq93h1y4fn3pjxaiuzvq93h1nvaw7hnz,Leo de vez en cuando durante el mes,,,Fantasía,Ciencia ficción,,Drama,Historias basadas en hechos reales,,,Recomendaciones de amigos o redes sociales,La trama/sinopsis,El autor,,,Muy larga: más de 500 páginas,completed,2026-05-08 00:00:07,,2026-05-08 00:00:53,2118ef972c,,Gracias por participar!
"n9d61pkuue2oyvhn9d65l2yu9nasr6vu,"A veces, cuando tengo tiempo",Romance,,Fantasía,Ciencia ficción,,Drama,,,,,La trama/sinopsis,,,,Muy larga: más de 500 páginas,completed,2026-05-08 21:12:09,,2026-05-08 21:13:11,921460b52d,,Gracias por participar!
8xxfr7ey2r2xl68xxfr45vnq4d30z5c2,Nunca o casi nunca,,,Fantasía,Ciencia ficción,,,,,,Recomendaciones de amigos o redes sociales,,,,,Muy corta: menos de 100 páginas,completed,2026-05-08 19:34:25,,2026-05-08 19:35:06,36603b19cc,,Gracias por participar!
7a49nxs6nmbsfan37a49nkasvhf04o99,Nunca o casi nunca,,,,Ciencia ficción,,Drama,,No suelo leer,,,La trama/sinopsis,El autor,Las reseñas o calificaciones,,Media: 200 a 350 páginas,completed,2026-05-08 15:51:36,,2026-05-08 15:52:54,71416f1955,,Gracias por participar!
"2g00xwvwyv4e5bqvfbvyd52g00xw6prb,Nunca o casi nunca,Romance,Misterio / Thriller,Fantasía,,,Drama,,,,,La trama/sinopsis,,,"Película, si es que tiene",Corta: 100 a 200 páginas,completed,2026-05-08 15:35:51,,2026-05-08 15:37:47,71416f1955,,Gracias por participar!
iuqimroq0sta1tc7w7bsiuqimroxu7xd,Nunca o casi nunca,,,,,,,Historias basadas en hechos reales,,,,La trama/sinopsis,,,,Muy corta: menos de 100 páginas,completed,2026-05-08 15:18:59,,2026-05-08 15:19:56,71416f1955,,Gracias por participar!
"pn1m3s6ob30gevd3pn1m3s6zquw82etp,"A veces, cuando tengo tiempo",Romance,Misterio / Thriller,Fantasía,Ciencia ficción,Terror,Drama,Historias basadas en hechos reales,,,,La trama/sinopsis,,,,Corta: 100 a 200 páginas,completed,2026-05-08 15:18:53,,2026-05-08 15:20:02,71416f1955,,Gracias por participar!
"vaqnmqhoxg7p6wyrhvaqpsjgvhwo1dcf,"A veces, cuando tengo tiempo",,,Fantasía,,,,,,,,La trama/sinopsis,,,,Corta: 100 a 200 páginas,completed,2026-05-08 15:15:51,,2026-05-08 15:16:20,71416f1955,,Gracias por participar!
7vu3jhiavxy4gy4hqr7vu3jl893dz1r0,Leo de vez en cuando durante el mes,,,,,,,Historias basadas en hechos reales,,,,,,Las reseñas o calificaciones,,Media: 200 a 350 páginas,completed,2026-05-08 01:35:45,,2026-05-08 01:36:27,97412f2186,,Gracias por participar!
"8uzr1qzbpbtwpuyo6b8uzr1p204s0jrc,"A veces, cuando tengo tiempo",,Misterio / Thriller,,Ciencia ficción,,,,,La portada,,,El autor,Las reseñas o calificaciones,,Larga: 350 a 500 páginas,completed,2026-05-08 00:58:22,,2026-05-08 00:59:02,bf74cb8115,,Gracias por participar!
"ykflh1kmm5gwjdfra4roykfz5kl7vpgw,"A veces, cuando tengo tiempo",,,Fantasía,,,,,,,,La trama/sinopsis,,,,Corta: 100 a 200 páginas,completed,2026-05-08 00:53:42,,2026-05-08 00:54:25,0dc41079a4,,Gracias por participar!
