Frecuencia de lectura,Criterio,Rango de páginas,Cantidad
"A veces, cuando tengo tiempo",El autor,Larga: 350 a 500 páginas,1
"A veces, cuando tengo tiempo",La portada,Corta: 100 a 200 páginas,1
"A veces, cuando tengo tiempo",La portada,Larga: 350 a 500 páginas,1
"A veces, cuando tengo tiempo",La trama/sinopsis,Corta: 100 a 200 páginas,5
"A veces, cuando tengo tiempo",La trama/sinopsis,Muy larga: más de 500 páginas,1
"A veces, cuando tengo tiempo",Las reseñas o calificaciones,Larga: 350 a 500 páginas,1
"A veces, cuando tengo tiempo",Las reseñas o calificaciones,Media: 200 a 350 páginas,1
"A veces, cuando tengo tiempo","Película, si es que tiene",Larga: 350 a 500 páginas,1
"A veces, cuando tengo tiempo",Recomendaciones de amigos o redes sociales,Corta: 100 a 200 páginas,2
"A veces, cuando tengo tiempo",Recomendaciones de amigos o redes sociales,Larga: 350 a 500 páginas,1
"A veces, cuando tengo tiempo",Recomendaciones de amigos o redes sociales,Media: 200 a 350 páginas,2
Leo de vez en cuando durante el mes,El autor,Larga: 350 a 500 páginas,1
Leo de vez en cuando durante el mes,El autor,Media: 200 a 350 páginas,1
Leo de vez en cuando durante el mes,El autor,Muy larga: más de 500 páginas,1
Leo de vez en cuando durante el mes,La portada,Corta: 100 a 200 páginas,1
Leo de vez en cuando durante el mes,La portada,Muy larga: más de 500 páginas,1
Leo de vez en cuando durante el mes,La trama/sinopsis,Corta: 100 a 200 páginas,1
Leo de vez en cuando durante el mes,La trama/sinopsis,Larga: 350 a 500 páginas,1
Leo de vez en cuando durante el mes,La trama/sinopsis,Muy larga: más de 500 páginas,2
Leo de vez en cuando durante el mes,Las reseñas o calificaciones,Media: 200 a 350 páginas,3
Leo de vez en cuando durante el mes,Las reseñas o calificaciones,Muy larga: más de 500 páginas,1
Leo de vez en cuando durante el mes,"Película, si es que tiene",Larga: 350 a 500 páginas,1
Leo de vez en cuando durante el mes,Recomendaciones de amigos o redes sociales,Larga: 350 a 500 páginas,1
Leo de vez en cuando durante el mes,Recomendaciones de amigos o redes sociales,Media: 200 a 350 páginas,2
Leo de vez en cuando durante el mes,Recomendaciones de amigos o redes sociales,Muy larga: más de 500 páginas,2
Leo frecuentemente,El autor,Muy larga: más de 500 páginas,1
Leo frecuentemente,La portada,Larga: 350 a 500 páginas,1
Leo frecuentemente,La portada,Media: 200 a 350 páginas,1
Leo frecuentemente,La portada,Muy larga: más de 500 páginas,1
Leo frecuentemente,La trama/sinopsis,Larga: 350 a 500 páginas,2
Leo frecuentemente,La trama/sinopsis,Media: 200 a 350 páginas,1
Leo frecuentemente,La trama/sinopsis,Muy larga: más de 500 páginas,1
Leo frecuentemente,Las reseñas o calificaciones,Larga: 350 a 500 páginas,1
Leo frecuentemente,Las reseñas o calificaciones,Muy larga: más de 500 páginas,2
Leo frecuentemente,Recomendaciones de amigos o redes sociales,Larga: 350 a 500 páginas,1
Leo frecuentemente,Recomendaciones de amigos o redes sociales,Muy larga: más de 500 páginas,1
Nunca o casi nunca,El autor,Media: 200 a 350 páginas,1
Nunca o casi nunca,La trama/sinopsis,Corta: 100 a 200 páginas,1
Nunca o casi nunca,La trama/sinopsis,Media: 200 a 350 páginas,2
Nunca o casi nunca,La trama/sinopsis,Muy corta: menos de 100 páginas,1
Nunca o casi nunca,Las reseñas o calificaciones,Media: 200 a 350 páginas,2
Nunca o casi nunca,"Película, si es que tiene",Corta: 100 a 200 páginas,2
Nunca o casi nunca,"Película, si es que tiene",Media: 200 a 350 páginas,1
Nunca o casi nunca,Recomendaciones de amigos o redes sociales,Media: 200 a 350 páginas,2
Nunca o casi nunca,Recomendaciones de amigos o redes sociales,Muy corta: menos de 100 páginas,1
