Título,Autor,País Autor,País Ambientación,ISO_Alpha3,Latitud,Longitud,Género,Relación
Cien años de soledad,Gabriel García Márquez,Colombia,Colombia,COL,4.5709,-74.2973,Realismo Mágico,Nativo
Pedro Páramo,Juan Rulfo,México,México,MEX,23.6345,-102.5528,Realismo Mágico,Nativo
La casa de los espíritus,Isabel Allende,Chile,Chile,CHL,-35.6751,-71.543,Saga Familiar,Nativo
Rayuela,Julio Cortázar,Argentina,Francia,FRA,48.8566,2.3522,Boom Latinoamericano,Extranjero
Ficciones,Jorge Luis Borges,Argentina,Argentina,ARG,-38.4161,-63.6167,Fantasía Filosófica,Nativo
El túnel,Ernesto Sabato,Argentina,Argentina,ARG,-34.6037,-58.3816,Psicológica,Nativo
La ciudad y los perros,Mario Vargas Llosa,Perú,Perú,PER,-12.0464,-77.0428,Realismo,Nativo
El alquimista,Paulo Coelho,Brasil,Egipto,EGY,26.8206,30.8025,Fábula,Extranjero
Los detectives salvajes,Roberto Bolaño,Chile,México,MEX,19.4326,-99.1332,Ficción,Extranjero
Inés del alma mía,Isabel Allende,Chile,Chile,CHL,-33.4489,-70.6693,Histórica,Nativo
Don Quijote de la Mancha,Miguel de Cervantes,España,España,ESP,40.4637,-3.7492,Caballerías,Nativo
Orgullo y Prejuicio,Jane Austen,Reino Unido,Reino Unido,GBR,55.3781,-3.436,Romance,Nativo
Crimen y castigo,Fiódor Dostoyevski,Rusia,Rusia,RUS,59.9343,30.3351,Psicológica,Nativo
Madame Bovary,Gustave Flaubert,Francia,Francia,FRA,46.2276,2.2137,Realismo,Nativo
Ulises,James Joyce,Irlanda,Irlanda,IRL,53.3498,-6.2603,Modernismo,Nativo
Drácula,Bram Stoker,Irlanda,Rumanía,ROU,46.7712,23.6236,Terror Gótico,Extranjero
1984,George Orwell,Reino Unido,Reino Unido,GBR,51.5074,-0.1278,Distopía,Nativo
Los miserables,Victor Hugo,Francia,Francia,FRA,48.8566,2.3522,Drama Histórico,Nativo
Frankenstein,Mary Shelley,Reino Unido,Suiza,CHE,46.2044,6.1432,Terror,Extranjero
Ana Karenina,León Tolstói,Rusia,Rusia,RUS,55.7558,37.6173,Realismo,Nativo
El proceso,Franz Kafka,República Checa,República Checa,CZE,50.0755,14.4378,Existencialismo,Nativo
El nombre de la rosa,Umberto Eco,Italia,Italia,ITA,43.7696,11.2558,Misterio Histórico,Nativo
Guerra y paz,León Tolstói,Rusia,Rusia,RUS,55.7558,37.6173,Ficción Histórica,Nativo
Cumbres Borrascosas,Emily Brontë,Reino Unido,Reino Unido,GBR,53.8313,-1.9564,Romance Gótico,Nativo
El extranjero,Albert Camus,Francia,Argelia,DZA,36.7538,3.0588,Existencialismo,Extranjero
Ensayo sobre la ceguera,José Saramago,Portugal,Portugal,PRT,38.7223,-9.1393,Ficción Psicológica,Nativo
Siddhartha,Hermann Hesse,Alemania,India,IND,25.3176,82.9739,Filosófica,Extranjero
La metamorfosis,Franz Kafka,República Checa,República Checa,CZE,50.0755,14.4378,Absurdismo,Nativo
Oliver Twist,Charles Dickens,Reino Unido,Reino Unido,GBR,51.5074,-0.1278,Drama Social,Nativo
La sombra del viento,Carlos Ruiz Zafón,España,España,ESP,41.3851,2.1734,Misterio,Nativo
El gran Gatsby,F. Scott Fitzgerald,Estados Unidos,Estados Unidos,USA,40.7128,-74.006,Drama,Nativo
Matar a un ruiseñor,Harper Lee,Estados Unidos,Estados Unidos,USA,31.4177,-87.4139,Drama Social,Nativo
El código Da Vinci,Dan Brown,Estados Unidos,Francia,FRA,48.8566,2.3522,Thriller,Extranjero
Memorias de una Geisha,Arthur Golden,Estados Unidos,Japón,JPN,35.0116,135.7681,Ficción Histórica,Extranjero
Moby Dick,Herman Melville,Estados Unidos,Océano Pacífico,USA,0.0,-140.0,Aventura,Nativo
Las uvas de la ira,John Steinbeck,Estados Unidos,Estados Unidos,USA,35.4676,-97.5164,Realismo Social,Nativo
Fahrenheit 451,Ray Bradbury,Estados Unidos,Estados Unidos,USA,34.0522,-118.2437,Distopía,Nativo
En el camino,Jack Kerouac,Estados Unidos,Estados Unidos,USA,39.7392,-104.9903,Generación Beat,Nativo
El resplandor,Stephen King,Estados Unidos,Estados Unidos,USA,40.3673,-105.5217,Terror,Nativo
La letra escarlata,Nathaniel Hawthorne,Estados Unidos,Estados Unidos,USA,42.5195,-70.8967,Ficción Histórica,Nativo
Kafka en la orilla,Haruki Murakami,Japón,Japón,JPN,34.3427,134.0466,Realismo Mágico,Nativo
Tokio Blues,Haruki Murakami,Japón,Japón,JPN,35.6762,139.6503,Drama Romántico,Nativo
Cometas en el cielo,Khaled Hosseini,Afganistán,Afganistán,AFG,34.5553,69.1779,Drama,Nativo
Hijos de la medianoche,Salman Rushdie,India,India,IND,19.076,72.8777,Realismo Mágico,Nativo
Todo se desmorona,Chinua Achebe,Nigeria,Nigeria,NGA,6.4541,3.3813,Ficción Histórica,Nativo
Hijos de nuestro barrio,Naguib Mahfouz,Egipto,Egipto,EGY,30.0444,31.2357,Drama Político,Nativo
El dios de las pequeñas cosas,Arundhati Roy,India,India,IND,9.5916,76.5222,Drama,Nativo
La encuadernadora de libros prohibidos,Pip Williams,Australia,Reino Unido,GBR,51.752,-1.2577,Histórica,Extranjero
Desgracia,J.M. Coetzee,Sudáfrica,Sudáfrica,ZAF,-33.9249,18.4241,Drama Político,Nativo
El sueño del pabellón rojo,Cao Xueqin,China,China,CHN,39.9042,116.4074,Clásico,Nativo
