pais,latitud,longitud,cantidad_novelas_2020_2026
United States,37.0902,-95.7129,127169
France,46.2276,2.2137,65569
China,35.8617,104.1954,53704
Russia,61.524,105.3188,45570
Japan,36.2048,138.2529,37765
Italy,41.8719,12.5674,36085
India,20.5937,78.9629,33250
Germany,51.1657,10.4515,30478
Mexico,23.6345,-102.5528,26712
Australia,-25.2744,133.7751,24381
Spain,40.4637,-3.7492,23156
Canada,56.1304,-106.3468,21364
South Africa,-30.5595,22.9375,11543
Brazil,-14.235,-51.9253,10185
Argentina,-38.4161,-63.6167,6874
Nigeria,9.082,8.6753,6363
Peru,-9.19,-75.0152,3689
Colombia,4.5709,-74.2973,3346
Chile,-35.6751,-71.543,3185
United Kingdom,55.3781,-3.436,385
