Row Labels,Fantasy,Romance,Mystery,Horror,Science Fiction,Historical Fiction,Adventure,Dystopian
1900,181,416,235,81,123,69,283,0
1910,159,400,249,48,98,34,292,0
1920,0,413,491,66,165,72,334,1
1930,114,439,804,39,157,76,0,0
1940,0,443,853,63,275,58,265,2
1950,319,803,0,80,1259,121,483,2
1960,780,1259,2077,216,1432,0,736,0
1970,1612,3044,4145,627,2915,322,1082,6
1980,3382,6324,7323,0,4855,545,2396,8
1990,6713,0,0,3779,6953,1318,5313,21
2000,21018,46437,26700,6084,13730,3144,16554,55
2010,30726,0,34409,8665,22631,1842,24772,481
2020,32299,53279,13926,7164,14783,238,18800,216
